,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere
127,QuantNaryTreeLearner_Standard_Teacher,PDFA - bb964c25bda643b59a2f52c34da071c7,19,19,1,3.5180976999999984,2700,4,2,2,1.0,1.0
128,QuantNaryTreeLearner_Standard_Teacher,PDFA - 648a8b15349641f082391a62307c1a82,25,25,1,4.828140699999949,4026,7,2,3,1.0,1.0
129,QuantNaryTreeLearner_Standard_Teacher,PDFA - 260dc0be80454d549f5e7c9a008944dd,17,17,1,3.333391600000141,2679,6,3,3,1.0,1.0
130,QuantNaryTreeLearner_Standard_Teacher,PDFA - 1984b8eb44274d4e896307fe4f8cb1e9,47,46,1,6.331603900000118,5421,10,2,3,1.0,0.996
131,QuantNaryTreeLearner_Standard_Teacher,PDFA - 24aed2cf568f496c8bf0ae941b0fbd8d,55,55,1,8.843403800000033,7791,15,3,4,1.0,1.0
132,QuantNaryTreeLearner_Standard_Teacher,PDFA - 10c736652a7e4488ade1a26934da8053,46,46,1,7.443036300000131,6456,13,2,4,1.0,1.0
133,QuantNaryTreeLearner_Standard_Teacher,PDFA - 97b81dad076a48148047cafaae625c8f,53,53,1,7.169530299999678,6270,12,2,3,1.0,1.0
134,QuantNaryTreeLearner_Standard_Teacher,PDFA - 9a50034497e1486187fbbad2285a3eb2,54,54,1,6.591206499999771,5577,15,2,3,1.0,1.0
135,QuantNaryTreeLearner_Standard_Teacher,PDFA - 77e10475542b4d179560ac13d4374a5e,48,48,1,6.754577200000313,5367,12,3,3,1.0,1.0
136,QuantNaryTreeLearner_Standard_Teacher,PDFA - 79563f1ca6ae40ab8f7dea30f7718cce,53,53,1,6.915420500000437,5886,13,3,4,1.0,1.0
137,QuantNaryTreeLearner_Standard_Teacher,PDFA - e52ca96dd2bd44d6b6f88828bf8b5ef1,52,52,1,7.1942103999999745,6219,17,3,3,1.0,1.0
138,QuantNaryTreeLearner_Standard_Teacher,PDFA - a1244b5a2e7c48ec91a9f89d800afa41,55,55,1,6.130779500000244,5328,17,3,4,1.0,1.0
139,QuantNaryTreeLearner_Standard_Teacher,PDFA - df4321421cbe480bad3690b6f6d70032,45,42,1,5.995577600000161,5103,9,3,3,1.0,0.997
140,QuantNaryTreeLearner_Standard_Teacher,PDFA - d23cbca6133c4665b35ed37f394ec9db,6,6,1,3.3882619999999406,2523,2,1,1,1.0,1.0
141,QuantNaryTreeLearner_Standard_Teacher,PDFA - 08f784909e8c4ebeb9848c2024b14833,3,2,1,3.279847599999812,2499,2,1,1,1.0,1.0
142,QuantNaryTreeLearner_Standard_Teacher,PDFA - 4c7bdf7078d344f9b63fb3c852645f6a,6,6,1,3.31382369999983,2547,3,2,2,1.0,1.0
143,QuantNaryTreeLearner_Standard_Teacher,PDFA - 71970d27051149f5bb0e95eba83d3cb3,7,7,1,3.280394200000046,2529,2,1,1,1.0,1.0
144,QuantNaryTreeLearner_Standard_Teacher,PDFA - 92fb080238dc43939d2df1b444edec5b,1,1,1,3.5428765000001476,2649,1,0,0,1.0,1.0
145,QuantNaryTreeLearner_Standard_Teacher,PDFA - 2ec45e2c6be44114a1918fbb20614210,6,6,1,3.3996226999997816,2523,2,1,1,1.0,1.0
146,QuantNaryTreeLearner_Standard_Teacher,PDFA - 6ba0aa6114194f42a2cf44254c8231a0,1,1,1,3.46205000000009,2649,1,0,0,1.0,1.0
147,QuantNaryTreeLearner_Standard_Teacher,PDFA - ad667c1e6e804ca98e6499024cb4b418,5,5,1,3.246354500000052,2535,3,2,2,1.0,1.0
148,QuantNaryTreeLearner_Standard_Teacher,PDFA - f33d757e29394600a07324f019d71135,1,1,1,3.4176063999998405,2649,1,0,0,1.0,1.0
149,QuantNaryTreeLearner_Standard_Teacher,PDFA - bce0b920376e466ea80c19a239c80c99,2,2,1,3.391030799999953,2502,2,1,1,1.0,1.0
